antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'NeuTraL', 'SLAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN', 'NeuTraL', 'DeepSVDD', 'RCA'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN', 'ICL', 'DeepSVDD', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'NeuTraL', 'DeepSAD', 'RCA'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RCA', 'PReNet', 'NeuTraL', 'RePEN', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN', 'ICL', 'DeepSVDD', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'NeuTraL', 'RCA', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN'})	frozenset({'Success'})	0.094	0.946	0.094	1.0	1.0570824524312896	0.005076000000000011	inf	0.05960264900662264
frozenset({'NeuTraL', 'DeepSVDD', 'RePEN', 'ICL', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RCA', 'PReNet', 'NeuTraL', 'DeepSVDD', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'DeepSVDD', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'ICL', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'ICL', 'NeuTraL', 'DeepSVDD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'RePEN', 'ICL', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN', 'NeuTraL', 'RCA', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN', 'NeuTraL', 'ICL', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'DeepSVDD', 'DevNet', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN', 'NeuTraL', 'ICL', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN', 'ICL', 'DeepSAD', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN', 'NeuTraL', 'DeepSAD', 'RCA'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'ICL', 'NeuTraL', 'DeepSVDD', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'ICL', 'NeuTraL', 'DeepSVDD', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'ICL', 'DeepSVDD', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'NeuTraL', 'DeepSAD', 'RCA', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'ICL', 'DeepSVDD', 'DeepSAD', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'DeepSVDD', 'DevNet', 'RCA', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN', 'ICL', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RePEN', 'ICL', 'PReNet'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'RCA', 'NeuTraL', 'DeepSVDD', 'RePEN', 'DeepSAD'})	frozenset({'Success'})	0.006	0.946	0.006	1.0	1.0570824524312896	0.0003240000000000005	inf	0.054325955734406524
frozenset({'ICL', 'DeepSVDD', 'RCA'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'DeepSAD', 'DevNet', 'RCA'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'DeepSAD', 'DevNet'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'DevNet', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'Quartile', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'DeepSAD', 'Quartile', 'DevNet'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Z_score', 'DevNet', 'RCA'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Quartile', 'RCA', 'DeepSVDD', 'DevNet', 'DeepSAD'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'PReNet', 'DevNet', 'RCA'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'DeepSVDD'})	frozenset({'Success'})	0.074	0.946	0.074	1.0	1.0570824524312896	0.0039959999999999996	inf	0.05831533477321813
frozenset({'DeepSAD', 'DevNet', 'RCA'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'RCA', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Quartile', 'DeepSVDD', 'DevNet', 'RePEN', 'DeepSAD'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Quartile', 'DeepSVDD', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'DeepSVDD', 'DevNet', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'DeepSAD', 'DeepSVDD', 'DevNet'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Quartile', 'RCA', 'RePEN', 'Z_score', 'DevNet'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'DevNet', 'RCA', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'DeepSVDD', 'DevNet', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RCA', 'DeepSVDD', 'RePEN', 'Z_score', 'DevNet'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'DeepSAD', 'Quartile', 'DeepSVDD', 'DevNet'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'DeepSVDD', 'RCA'})	frozenset({'Success'})	0.08	0.946	0.08	1.0	1.0570824524312896	0.004320000000000004	inf	0.05869565217391311
frozenset({'RePEN', 'RoSAS'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'DevNet', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Quartile', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RCA', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'ICL', 'RoSAS', 'GOAD'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Quartile', 'RCA', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Quartile', 'DeepSVDD', 'DevNet', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RCA', 'DeepSVDD', 'DevNet', 'RePEN', 'DeepSAD'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Quartile', 'RCA', 'DeepSVDD', 'Z_score', 'DevNet'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'RCA'})	frozenset({'Success'})	0.082	0.946	0.082	1.0	1.0570824524312896	0.004428000000000001	inf	0.05882352941176472
frozenset({'RePEN', 'DeepSVDD', 'RCA', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'DeepSAD', 'Quartile', 'DevNet'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'DeepSAD', 'DeepSVDD', 'DevNet', 'RCA'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'Quartile', 'DevNet', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'DeepSVDD', 'DevNet', 'RCA', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'Quartile', 'DevNet', 'Z_score'})	frozenset({'Success'})	0.008	0.946	0.008	1.0	1.0570824524312896	0.0004320000000000001	inf	0.05443548387096775
frozenset({'RePEN', 'PReNet'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'DeepSVDD'})	frozenset({'Success'})	0.122	0.946	0.12	0.9836065573770492	1.0397532318996292	0.004588000000000009	3.293999999999999	0.043545937737281784
frozenset({'RCA'})	frozenset({'Success'})	0.108	0.946	0.106	0.9814814814814815	1.0375068514603398	0.003832000000000002	2.916000000000007	0.04052796344868435
frozenset({'SLAD'})	frozenset({'Success'})	0.108	0.946	0.106	0.9814814814814815	1.0375068514603398	0.003832000000000002	2.916000000000007	0.04052796344868435
frozenset({'DevNet'})	frozenset({'Success'})	0.1	0.946	0.098	0.98	1.0359408033826638	0.0034000000000000002	2.7	0.038548752834467126
frozenset({'DeepSAD'})	frozenset({'Success'})	0.098	0.946	0.096	0.9795918367346939	1.0355093411571816	0.0032920000000000033	2.6459999999999995	0.03801736881005177
frozenset({'GOAD'})	frozenset({'Success'})	0.122	0.946	0.116	0.9508196721311476	1.0050947908363084	0.0005880000000000191	1.0980000000000023	0.005773309245149821
frozenset({'DeepSVDD', 'PReNet'})	frozenset({'Success'})	0.03	0.946	0.028	0.9333333333333333	0.9866102889358704	-0.0003799999999999984	0.8100000000000009	-0.013798111837327466
frozenset({'DeepSAD', 'PReNet'})	frozenset({'Success'})	0.026	0.946	0.024	0.9230769230769231	0.9757684176288829	-0.0005959999999999958	0.7020000000000011	-0.024862339395961785
frozenset({'GOAD', 'SLAD'})	frozenset({'Success'})	0.024	0.946	0.022	0.9166666666666666	0.9689922480620156	-0.0007039999999999998	0.6480000000000002	-0.03174603174603174
frozenset({'NeuTraL', 'GOAD'})	frozenset({'Success'})	0.024	0.946	0.022	0.9166666666666666	0.9689922480620156	-0.0007039999999999998	0.6480000000000002	-0.03174603174603174
frozenset({'RoSAS', 'DevNet'})	frozenset({'Success'})	0.024	0.946	0.022	0.9166666666666666	0.9689922480620156	-0.0007039999999999998	0.6480000000000002	-0.03174603174603174
frozenset({'RoSAS'})	frozenset({'Success'})	0.092	0.946	0.084	0.9130434782608696	0.965162239176395	-0.003031999999999993	0.621000000000001	-0.0382326238272974
frozenset({'ICL', 'DeepSVDD'})	frozenset({'Success'})	0.02	0.946	0.018	0.8999999999999999	0.9513742071881607	-0.0009200000000000007	0.54	-0.049568965517241416
frozenset({'ICL'})	frozenset({'Success'})	0.096	0.946	0.086	0.8958333333333333	0.9469696969696969	-0.004816000000000001	0.5184000000000001	-0.05833333333333335
frozenset({'PReNet'})	frozenset({'Success'})	0.094	0.946	0.084	0.8936170212765958	0.9446268723854079	-0.004923999999999984	0.5076000000000008	-0.06076911684849662
frozenset({'NeuTraL'})	frozenset({'Success'})	0.09	0.946	0.08	0.888888888888889	0.9396288466055909	-0.005139999999999992	0.4860000000000007	-0.0659481652553245
frozenset({'ICL', 'GOAD'})	frozenset({'Success'})	0.018	0.946	0.016	0.888888888888889	0.9396288466055909	-0.0010279999999999977	0.4860000000000007	-0.06140979689366773
frozenset({'NeuTraL', 'PReNet'})	frozenset({'Success'})	0.032	0.946	0.028	0.875	0.9249471458773785	-0.0022719999999999997	0.4320000000000004	-0.07734204793028322
frozenset({'NeuTraL', 'DeepSAD'})	frozenset({'Success'})	0.014	0.946	0.012	0.8571428571428571	0.906070673512534	-0.0012439999999999986	0.3780000000000002	-0.0951361272560415
frozenset({'NeuTraL', 'DeepSAD', 'PReNet'})	frozenset({'Success'})	0.014	0.946	0.012	0.8571428571428571	0.906070673512534	-0.0012439999999999986	0.3780000000000002	-0.0951361272560415
frozenset({'ICL', 'DeepSAD'})	frozenset({'Success'})	0.012	0.946	0.01	0.8333333333333334	0.8809020436927415	-0.001351999999999999	0.32400000000000034	-0.1203703703703703
frozenset({'ICL', 'NeuTraL', 'PReNet'})	frozenset({'Success'})	0.012	0.946	0.01	0.8333333333333334	0.8809020436927415	-0.001351999999999999	0.32400000000000034	-0.1203703703703703
frozenset({'ICL', 'RCA'})	frozenset({'Success'})	0.01	0.946	0.008	0.8	0.8456659619450319	-0.0014599999999999995	0.2700000000000003	-0.15565031982942426
frozenset({'ICL', 'DeepSVDD', 'PReNet'})	frozenset({'Success'})	0.01	0.946	0.008	0.8	0.8456659619450319	-0.0014599999999999995	0.2700000000000003	-0.15565031982942426
frozenset({'ICL', 'NeuTraL', 'DeepSAD', 'PReNet'})	frozenset({'Success'})	0.01	0.946	0.008	0.8	0.8456659619450319	-0.0014599999999999995	0.2700000000000003	-0.15565031982942426
frozenset({'ICL', 'DeepSAD', 'PReNet'})	frozenset({'Success'})	0.01	0.946	0.008	0.8	0.8456659619450319	-0.0014599999999999995	0.2700000000000003	-0.15565031982942426
frozenset({'ICL', 'NeuTraL', 'DeepSAD'})	frozenset({'Success'})	0.01	0.946	0.008	0.8	0.8456659619450319	-0.0014599999999999995	0.2700000000000003	-0.15565031982942426
frozenset({'ICL', 'NeuTraL'})	frozenset({'Success'})	0.018	0.946	0.014	0.7777777777777779	0.8221752407798921	-0.0030279999999999977	0.24300000000000035	-0.18049594659036705
frozenset({'ICL', 'PReNet'})	frozenset({'Success'})	0.024	0.946	0.018	0.7499999999999999	0.7928118393234671	-0.004704	0.2160000000000001	-0.21120689655172414
